GEO_NAME,VALUE
CZam,101
CZbg,102
CZfg,103
CZfv,104
CZg,105
CZig,106
CZlg,107
CZmd,108
CZph,109
CZve,1010
Km,201
PPmg,301
PzZg,401
PzZu,402
TRc,501
TRcc,502
TRcs,503
Tec,601
Tt,602
