GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US42101000100,42101000100,"Census Tract 1, Philadelphia County, Pennsylvania",3027,345
1400000US42101000200,42101000200,"Census Tract 2, Philadelphia County, Pennsylvania",1897,278
1400000US42101000300,42101000300,"Census Tract 3, Philadelphia County, Pennsylvania",3365,362
1400000US42101000401,42101000401,"Census Tract 4.01, Philadelphia County, Pennsylvania",2034,263
1400000US42101000402,42101000402,"Census Tract 4.02, Philadelphia County, Pennsylvania",3198,264
1400000US42101000500,42101000500,"Census Tract 5, Philadelphia County, Pennsylvania",2113,300
1400000US42101000600,42101000600,"Census Tract 6, Philadelphia County, Pennsylvania",1641,425
1400000US42101000700,42101000700,"Census Tract 7, Philadelphia County, Pennsylvania",2589,330
1400000US42101000801,42101000801,"Census Tract 8.01, Philadelphia County, Pennsylvania",1515,217
1400000US42101000803,42101000803,"Census Tract 8.03, Philadelphia County, Pennsylvania",3764,351
1400000US42101000804,42101000804,"Census Tract 8.04, Philadelphia County, Pennsylvania",3054,394
1400000US42101000901,42101000901,"Census Tract 9.01, Philadelphia County, Pennsylvania",1848,378
1400000US42101000902,42101000902,"Census Tract 9.02, Philadelphia County, Pennsylvania",2033,414
1400000US42101001001,42101001001,"Census Tract 10.01, Philadelphia County, Pennsylvania",2295,241
1400000US42101001002,42101001002,"Census Tract 10.02, Philadelphia County, Pennsylvania",3281,301
1400000US42101001101,42101001101,"Census Tract 11.01, Philadelphia County, Pennsylvania",3095,336
1400000US42101001102,42101001102,"Census Tract 11.02, Philadelphia County, Pennsylvania",2448,289
1400000US42101001201,42101001201,"Census Tract 12.01, Philadelphia County, Pennsylvania",3684,381
1400000US42101001202,42101001202,"Census Tract 12.02, Philadelphia County, Pennsylvania",4867,500
1400000US42101001300,42101001300,"Census Tract 13, Philadelphia County, Pennsylvania",5029,472
1400000US42101001400,42101001400,"Census Tract 14, Philadelphia County, Pennsylvania",4186,469
1400000US42101001500,42101001500,"Census Tract 15, Philadelphia County, Pennsylvania",2695,305
1400000US42101001600,42101001600,"Census Tract 16, Philadelphia County, Pennsylvania",2142,285
1400000US42101001700,42101001700,"Census Tract 17, Philadelphia County, Pennsylvania",2753,284
1400000US42101001800,42101001800,"Census Tract 18, Philadelphia County, Pennsylvania",2887,355
