lon,lat,Jan-11,Jan-12,Jan-13,name
-75.0122890,40.1288925,135,-274,-310,Census Tract 365.01
-75.1804050,39.9497374,13,77,-17,Census Tract 8.01
-75.1637160,40.0728148,41,14,-35,Census Tract 263.01
-75.1021540,40.0249460,113,-113,196,Census Tract 292
-75.1638920,40.0248284,20,-135,37,Census Tract 244
-75.0448280,40.0439412,-281,4,63,Census Tract 332
-75.0443910,40.0714709,-224,62,44,Census Tract 9802
-75.1466620,39.9523827,-21,158,-17,Census Tract 1
-75.1569770,39.9553999,48,300,-21,Census Tract 2
-75.1713010,39.9568346,-600,226,38,Census Tract 3
-75.2130770,40.0833122,-92,-69,67,Census Tract 387
-75.1982430,40.0571595,-212,-75,-15,Census Tract 388
-75.1682760,40.0543431,76,-23,114,Census Tract 389
-75.0927150,39.9910899,-102,3,637,Census Tract 379
-75.0973640,39.9963741,-133,23,99,Census Tract 382
-75.0807870,40.0052270,-193,51,44,Census Tract 380
-75.1248980,40.0108630,5,386,179,Census Tract 383
-75.0938840,40.0357300,-678,-164,46,Census Tract 390
-75.0399560,40.0189334,196,55,23,Census Tract 381
-75.1516020,39.9456722,43,86,171,Census Tract 10.01
-75.1686950,39.9532973,101,-182,-151,Census Tract 4.02
-75.1937460,39.9487129,290,-100,54,Census Tract 369
-75.1879360,39.9024981,70,118,240,Census Tract 373
-75.1599370,39.9129487,62,8,-4,Census Tract 372
-75.2332560,40.0714163,3,-56,-44,Census Tract 384
-75.2110910,40.0582762,45,92,-167,Census Tract 386
-75.2146230,40.0757528,107,-32,58,Census Tract 385
-75.1840640,40.0625796,103,11,236,Census Tract 255
-75.1883020,40.0683411,76,172,58,Census Tract 256
-75.1962700,40.0724586,242,56,62,Census Tract 257
-75.1823110,40.0739801,-4,6,-1,Census Tract 258
-75.1759760,40.0799254,24,-125,-34,Census Tract 259
-75.1305520,39.9967182,-113,-91,204,Census Tract 176.02
-75.1173060,39.9913734,233,17,300,Census Tract 178
-75.1139340,39.9870535,600,375,-545,Census Tract 179
-75.1167520,39.9964470,101,84,1,Census Tract 177.01
-75.0375060,40.0976749,405,-188,45,Census Tract 356.01
-75.2325550,39.8796188,0,0,0,Census Tract 9804
-75.1690320,39.9653623,108,95,-151,Census Tract 134.02
-75.1785770,39.9689697,17,166,35,Census Tract 136.01
-75.1984470,39.9539319,106,-51,213,Census Tract 88.01
-75.1441820,40.0177581,0,0,0,Census Tract 9805
-75.1700490,39.9854546,135,-106,-3,Census Tract 152
-75.0746220,39.9956035,18,43,13,Census Tract 183
-75.0633000,40.0030391,-14,141,150,Census Tract 184
-75.0986130,40.0095015,-224,229,238,Census Tract 190
-75.1072110,40.0090421,-149,566,296,Census Tract 191
-75.1150640,40.0006393,151,81,354,Census Tract 192
-75.1379370,40.0162799,-178,-212,549,Census Tract 197
-75.1421470,40.0107245,46,232,284,Census Tract 198
-75.1435460,40.0048515,-421,202,-139,Census Tract 199
-75.1508990,40.0025289,33,-8,-31,Census Tract 200
-75.1621600,40.0081282,154,57,-6,Census Tract 202
-75.1495920,40.0125820,8,-12,6,Census Tract 203
-75.1525110,40.0198216,-16,30,-6,Census Tract 204
-75.1643600,40.0158738,22,18,117,Census Tract 205
-75.1827740,40.0198000,-219,-33,-72,Census Tract 206
-75.1944860,40.0126929,-114,-292,166,Census Tract 207
-75.1936130,40.0213154,225,31,29,Census Tract 208
-75.2089790,40.0186576,113,47,171,Census Tract 209
-75.2151040,40.0244730,191,401,180,Census Tract 210
-75.2065290,40.0264564,-25,-43,-66,Census Tract 211
-75.2125330,40.0348390,90,-169,221,Census Tract 212
-75.2240820,40.0279290,42,144,240,Census Tract 214
-75.2288240,40.0350417,201,62,115,Census Tract 215
-75.1418910,39.9790066,108,150,-200,Census Tract 156
