lon,lat,Jan-11,Jan-12,Jan-13,name
-75.1355240,39.9780463,-37,-147,-173,Census Tract 157
-75.1294320,39.9735773,214,121,-43,Census Tract 158
-75.1231900,39.9793809,-283,216,-84,Census Tract 160
-75.1275250,39.9844571,-53,-30,615,Census Tract 161
-75.1384210,39.9840197,39,35,89,Census Tract 162
-75.1339150,39.9885061,80,62,272,Census Tract 163
-75.1431660,39.9896437,230,-395,-169,Census Tract 164
-75.1491720,39.9890550,27,-89,8,Census Tract 165
-75.1536060,39.9890491,102,-4,157,Census Tract 166
-75.1758390,39.9930523,51,15,-34,Census Tract 169.01
-75.1834440,40.0078562,61,126,-119,Census Tract 170
-75.1763240,40.0027449,21,28,-24,Census Tract 171
-75.1742060,39.9986670,27,111,34,Census Tract 172.02
-75.1286490,40.0386049,-201,218,-124,Census Tract 274.01
-75.1553070,40.0036824,30,-4,7,Census Tract 201.01
-75.1151820,40.0171008,-223,231,-98,Census Tract 289.01
-75.0994350,40.0428163,30,-235,452,Census Tract 305.01
-75.1578170,39.9904175,80,186,-129,Census Tract 167.02
-75.2027890,39.9529808,729,667,-171,Census Tract 88.02
-75.2416350,40.0441486,431,85,198,Census Tract 216
-75.2239450,40.0450277,580,-88,-60,Census Tract 217
-75.2468710,40.0505698,-194,159,60,Census Tract 219
-75.2523980,40.0563992,94,53,70,Census Tract 220
-75.2038510,40.0666637,71,9,17,Census Tract 231
-75.2007920,40.0394435,-54,88,55,Census Tract 235
-75.1946930,40.0427146,176,-55,-93,Census Tract 236
-75.1886060,40.0487394,245,4,-40,Census Tract 237
-75.1875110,40.0339713,3,-17,51,Census Tract 239
-75.1794620,40.0280807,75,-166,-49,Census Tract 240
-75.1759170,40.0332734,106,-5,73,Census Tract 241
-75.1804020,39.9816503,7,236,41,Census Tract 149
-75.1620240,39.9785489,273,321,179,Census Tract 147
-75.1691610,39.9802047,88,-61,9,Census Tract 148
-75.1697080,40.0285110,-61,204,-5,Census Tract 242
-75.1710370,40.0215855,-72,93,15,Census Tract 243
-75.1620460,40.0333286,64,7,-28,Census Tract 245
-75.1729010,40.0409623,222,-106,18,Census Tract 246
-75.1609330,39.9985707,-22,-22,4,Census Tract 173
-75.1503580,39.9962138,28,-91,-10,Census Tract 174
-75.1429840,39.9979150,164,-738,-33,Census Tract 175
-75.1343440,39.9939260,-22,-17,-82,Census Tract 176.01
-75.1645310,40.0417034,-256,-47,18,Census Tract 247
-75.1601160,40.0511009,-33,25,-20,Census Tract 249
-75.1771580,40.0468352,-316,85,-44,Census Tract 252
-75.1760710,40.0604202,20,10,-112,Census Tract 254
-75.1546990,39.9764305,103,307,101,Census Tract 146
-75.1439880,39.9607248,171,-92,163,Census Tract 367
-75.0956840,39.9805802,-216,181,139,Census Tract 378
-75.1551650,39.9599009,56,325,162,Census Tract 376
-75.1484180,39.9760715,-20,-4,5,Census Tract 145
-75.0774550,40.0354204,-275,-60,16,Census Tract 312
-75.2324350,40.0574759,380,-199,-159,Census Tract 218
-75.1977240,39.9594179,107,-239,25,Census Tract 91
-75.0592350,40.0614785,77,-83,-281,Census Tract 336
-75.1516280,39.9168570,-26,423,-45,Census Tract 42.02
-75.1676540,39.9917820,20,-68,35,Census Tract 168
-75.2214770,39.9351850,129,18,45,Census Tract 70
-75.1074590,40.0361323,289,-91,-11,Census Tract 291
-75.2149160,40.0509585,-43,27,8,Census Tract 9801
-75.2181170,40.0322339,267,118,72,Census Tract 213
-75.0780880,40.0186719,-95,-64,322,Census Tract 300
-75.1629450,39.9666126,372,-91,97,Census Tract 133
-75.1755180,40.0704645,-32,-14,33,Census Tract 261
-75.1692170,40.0664940,13,19,-24,Census Tract 262
-75.1571940,40.0687425,82,-196,104,Census Tract 263.02
-75.1620060,40.0625462,3,-28,15,Census Tract 264
-75.1546920,40.0587255,-2,-23,8,Census Tract 265
-75.1473260,40.0634828,-20,-58,0,Census Tract 266
-75.1479240,40.0547569,151,-64,-274,Census Tract 267
-75.1324040,40.0556007,-64,-131,45,Census Tract 269
-75.1263610,40.0484793,132,-156,-84,Census Tract 271
-75.1180880,40.0472339,-88,-43,-27,Census Tract 272
-75.1189430,40.0377547,-8,128,-38,Census Tract 273
-74.9868070,40.0820300,-11,-218,136,Census Tract 362.01
-74.9781800,40.0838623,-31,205,-253,Census Tract 362.02
-75.1512260,40.0505444,-66,-91,122,Census Tract 277
-75.1471620,40.0425278,70,153,21,Census Tract 278
-75.1546480,40.0261190,26,-6,-18,Census Tract 280
-75.1392770,40.0429404,-7,1,-4,Census Tract 276
-75.1403320,40.0348704,-13,184,-4,Census Tract 282
-75.1381280,40.0251577,98,24,191,Census Tract 284
-75.1337350,40.0287154,20,12,-49,Census Tract 285
-75.1276440,40.0285757,-263,-301,-250,Census Tract 286
-75.1314400,40.0218194,-27,0,118,Census Tract 287
-75.1166050,40.0296096,-285,-32,297,Census Tract 290
-75.0917650,40.0137540,-24,178,-63,Census Tract 293
-75.0854720,40.0094789,-77,-121,-18,Census Tract 294
-74.9742960,40.0760921,121,104,97,Census Tract 362.03
-75.2665970,39.9775172,290,-95,108,Census Tract 98.01
-75.2106380,40.0034648,-15,90,-212,Census Tract 122.01
-75.2249980,39.9381580,29,-11,28,Census Tract 71.01
-75.1568310,39.9289729,-9,-193,65,Census Tract 28.01
-75.0678010,40.0159529,-142,133,141,Census Tract 298
-75.0747140,40.0131465,172,152,-321,Census Tract 299
-75.0885040,40.0204947,77,13,-70,Census Tract 301
-75.0823120,40.0259863,-387,-12,149,Census Tract 302
-75.0943780,40.0504922,-696,837,-377,Census Tract 306
-74.9667380,40.0895349,91,-179,-126,Census Tract 363.01
-74.9805150,40.0973154,76,64,29,Census Tract 363.02
-74.9702250,40.1051833,-158,-64,-494,Census Tract 363.03
-74.9789160,40.1127742,-121,49,88,Census Tract 364
-75.0885390,40.0573133,47,65,-265,Census Tract 307
-75.0819050,40.0547831,195,-90,66,Census Tract 308
-75.0851910,40.0437632,-299,59,83,Census Tract 309
-75.0744540,40.0497292,113,-179,42,Census Tract 310
-75.0698140,40.0393190,40,-445,-171,Census Tract 313
-75.0590710,40.0326126,-310,-431,-105,Census Tract 316
-75.0683980,40.0306050,44,-345,92,Census Tract 317
-75.0769890,40.0311021,-367,125,-227,Census Tract 318
-75.0548670,40.0271751,-4,442,-455,Census Tract 320
-75.0589750,40.0170175,-179,189,-1009,Census Tract 321
-75.0452560,40.0263918,65,257,-443,Census Tract 325
-75.0396260,40.0302773,-234,-263,-37,Census Tract 326
-75.0054860,40.0363474,-82,-99,22,Census Tract 9891
-75.0250090,40.0382801,392,-155,-188,Census Tract 329
-75.0338490,40.0335974,562,262,-264,Census Tract 330
-75.0440550,40.0550147,13,-51,-161,Census Tract 333
-75.0529610,40.0535052,445,-248,357,Census Tract 334
-75.0736440,40.0626481,37,12,-216,Census Tract 338
-75.0873410,40.0685560,178,-11,-170,Census Tract 339
-75.0735000,40.0711759,6,87,137,Census Tract 340
-75.0806930,40.0763415,167,-21,445,Census Tract 341
-75.0721580,40.0825947,145,-13,108,Census Tract 342
-75.0558870,40.0944389,-102,-377,242,Census Tract 344
-75.0207260,40.0708314,-36,48,119,Census Tract 346
-75.0329780,40.0645576,462,50,-203,Census Tract 347.01
-75.2167030,39.9569725,82,-112,30,Census Tract 86.02
-75.2679030,39.9745879,55,-12,-116,Census Tract 98.02
-75.2551920,39.9840699,-213,9,-33,Census Tract 375
-75.1128000,39.9810569,-191,-64,421,Census Tract 180.01
-75.2062950,39.9737291,-2,5,143,Census Tract 110
-75.2215740,39.9752003,-59,18,-4,Census Tract 111
-75.2353340,39.9786554,5,-30,8,Census Tract 113
-75.2440170,39.9807388,-18,20,42,Census Tract 114
-75.2518300,39.9773687,280,-207,146,Census Tract 115
-75.2357390,39.9852889,7,4,-6,Census Tract 118
-75.2288420,39.9861142,-43,-160,-55,Census Tract 119
-75.2297460,39.9955322,115,-6,-1,Census Tract 120
-75.2223790,39.9964998,-51,12,73,Census Tract 121
-75.1720830,39.9613701,479,-24,916,Census Tract 125
-75.1507380,39.9651312,76,-23,38,Census Tract 131
-75.1700360,39.9693564,62,-118,122,Census Tract 135
-75.1842320,39.9772752,201,414,212,Census Tract 137
-75.1711910,39.9327263,-21,266,-213,Census Tract 30.02
-75.0665720,40.0457134,104,-175,303,Census Tract 314.01
-75.1752500,39.9659574,-30,76,136,Census Tract 134.01
-75.1067090,39.9836344,-271,-219,517,Census Tract 180.02
-75.1771770,39.9764504,108,162,40,Census Tract 138
-75.1711840,39.9750563,-17,9,-14,Census Tract 139
-75.1524550,39.9708771,-37,9,63,Census Tract 141
-75.1359610,39.9652375,206,149,196,Census Tract 142
-75.0286810,40.1095846,-16,80,38,Census Tract 357.01
-75.0374310,40.1130914,214,339,77,Census Tract 357.02
-75.0482980,40.0672105,-519,238,-110,Census Tract 337.01
-75.0578210,40.0707532,5,-173,28,Census Tract 337.02
-75.1545670,40.0111415,-63,145,-136,Census Tract 201.02
-75.0785440,40.0422496,-67,33,-38,Census Tract 311.01
-75.0833720,40.0370850,-210,-64,-88,Census Tract 311.02
-75.1300440,40.0034030,248,114,171,Census Tract 195.02
-75.1316220,40.0004303,-117,-106,130,Census Tract 195.01
-75.1116870,40.0216105,220,-402,121,Census Tract 289.02
-75.0379500,40.0403093,278,466,-573,Census Tract 331.01
-75.0272860,40.0451050,-482,-75,-254,Census Tract 331.02
-75.0481640,40.0365919,-432,-674,480,Census Tract 315.01
-75.1566960,39.9442654,166,90,171,Census Tract 11.02
-75.1742480,39.9493748,169,31,-182,Census Tract 8.03
-75.2174140,39.9051799,0,4,0,Census Tract 9809
-75.1686140,39.9993972,-18,5,96,Census Tract 172.01
-75.2620720,39.9715080,0,0,0,Census Tract 9808
-75.2165930,39.9537341,69,92,98,Census Tract 86.01
-75.1506930,39.9824381,-263,-46,-59,Census Tract 377
-75.1967710,39.9880567,187,99,198,Census Tract 9800
-75.2069440,39.9687475,42,211,-83,Census Tract 107
-75.1989890,39.9660217,77,-4,32,Census Tract 108
-75.2079210,39.9646327,40,-13,6,Census Tract 106
-75.2523530,39.8886712,44,37,-59,Census Tract 54
-75.2489170,39.9074191,121,15,-112,Census Tract 55
-75.2447340,39.8988328,43,10,31,Census Tract 56
-75.1581770,39.9519534,45,17,-31,Census Tract 5
-75.1729140,39.9510463,-93,90,-199,Census Tract 7
-75.0023700,40.0619427,30,-113,-139,Census Tract 348.03
-75.2381570,39.9115196,-229,-93,-232,Census Tract 60
-75.2288090,39.9150013,-99,31,-166,Census Tract 61
-75.2399760,39.9210843,101,95,-43,Census Tract 63
-75.2428390,39.9251805,110,-49,-153,Census Tract 64
-75.1399310,40.0555270,137,-38,9,Census Tract 268
-75.1691410,39.8898768,0,0,0,Census Tract 50
-75.1400950,39.9722286,83,147,-43,Census Tract 144
-75.1405480,39.9468439,3,116,109,Census Tract 366
-75.2120760,40.0009407,80,87,19,Census Tract 122.04
-75.2093520,40.0074668,82,-142,-14,Census Tract 122.03
-75.1798090,39.9715714,219,-351,-17,Census Tract 136.02
-75.0383810,40.0814446,254,-154,-83,Census Tract 345.02
-75.1566380,39.9471596,-48,244,94,Census Tract 9.02
-75.1677560,39.9485646,176,137,243,Census Tract 8.04
-75.1699470,39.9459117,-1,225,-63,Census Tract 12.02
-75.1798720,39.9471666,337,-33,235,Census Tract 12.01
-75.1495600,39.9280114,107,-172,-39,Census Tract 27.02
-75.1491290,40.0304473,117,-106,33,Census Tract 281
-74.9968710,40.0730774,-250,103,-30,Census Tract 353.02
-75.1843140,39.9381416,3,5,102,Census Tract 20
-75.1265610,39.9671225,144,39,128,Census Tract 143
-75.1625240,39.9449918,-71,43,184,Census Tract 11.01
-75.1251350,40.0390702,-344,-110,-207,Census Tract 274.02
-74.9993520,40.1235705,77,149,-177,Census Tract 365.02
-75.1758080,39.9541871,307,147,67,Census Tract 4.01
-75.0392080,40.0749091,549,19,130,Census Tract 345.01
-75.1623000,39.9478866,-112,88,-32,Census Tract 9.01
-75.1231390,39.9950621,517,288,-35,Census Tract 177.02
-75.1827030,40.0389370,-192,-121,-61,Census Tract 238
-75.1917650,39.9649286,-193,-18,-17,Census Tract 109
-75.1668810,40.0468442,-122,5,9,Census Tract 248
-75.1058290,39.9973659,-258,153,320,Census Tract 188
-75.0648670,40.0546014,20,-224,18,Census Tract 335
-75.2082580,39.9463523,-260,53,26,Census Tract 77
-75.1630960,39.9735358,468,96,-128,Census Tract 140
-75.1719910,39.9290640,45,99,102,Census Tract 30.01
-75.1614070,39.9288001,189,-224,-79,Census Tract 28.02
-75.1431680,39.9104943,0,0,0,Census Tract 9807
-75.1537030,39.9285526,87,296,137,Census Tract 27.01
-75.1707150,39.9055378,-50,0,0,Census Tract 9806
-75.0283280,40.0570427,45,-165,-357,Census Tract 347.02
-75.0161400,40.0534743,-44,-153,-12,Census Tract 348.01
-75.0097300,40.0687035,-20,-212,270,Census Tract 348.02
-75.0090760,40.0453848,42,0,-349,Census Tract 349
-74.9859710,40.0488411,-138,-247,259,Census Tract 351
-74.9901520,40.0553000,36,-24,-342,Census Tract 352
-75.0113500,40.0811431,0,0,0,Census Tract 9803
-75.0293240,40.0911285,-72,-447,415,Census Tract 355
-75.0257890,40.1213169,364,-174,73,Census Tract 358
-75.0163480,40.1091461,-105,-184,-76,Census Tract 359
-75.0081510,40.1059420,-479,-247,110,Census Tract 360
-74.9909260,40.0993951,-111,-81,112,Census Tract 361
-75.1694560,40.0761235,32,-1,-23,Census Tract 260
-75.1322700,40.0400497,40,74,-19,Census Tract 275
-75.2318400,39.9330955,52,-11,-16,Census Tract 65
-75.2298420,39.9293155,-217,105,-40,Census Tract 66
-75.2242810,39.9242475,103,10,65,Census Tract 67
-75.2332160,39.9446370,-49,88,-2,Census Tract 72
-75.1862050,39.9445258,330,336,-93,Census Tract 13
-75.1483120,39.9402546,103,-87,-80,Census Tract 16
-75.1483110,39.9377593,-146,90,-6,Census Tract 17
-75.2232910,39.9448185,-145,-34,-64,Census Tract 73
-75.2143060,39.9408575,-19,-36,-27,Census Tract 74
-75.1593090,39.9399998,-55,-92,94,Census Tract 18
-75.1722270,39.9400454,-17,278,69,Census Tract 19
-75.1768950,39.9372214,102,60,166,Census Tract 21
-75.1703920,39.9364111,-51,-58,121,Census Tract 22
-75.1595100,39.9367634,-646,642,158,Census Tract 24
-75.1498020,39.9342960,128,130,25,Census Tract 25
-75.1655720,39.9306984,105,-188,210,Census Tract 29
-75.1779570,39.9323428,-13,110,44,Census Tract 31
-75.1854180,39.9333011,32,-50,81,Census Tract 32
-75.1958250,39.9384405,12,455,-134,Census Tract 33
-75.2162630,39.9464580,-42,221,149,Census Tract 78
-75.2182570,39.9504630,324,276,-222,Census Tract 79
-75.2268420,39.9506613,-99,-64,207,Census Tract 80
-75.2444490,39.9491574,-21,-15,0,Census Tract 82
-75.2467380,39.9577810,-22,49,-1,Census Tract 83.01
-75.1920200,39.9279255,342,-139,-33,Census Tract 36
-75.1806650,39.9276728,68,10,255,Census Tract 37.01
-75.1824350,39.9245283,85,66,313,Census Tract 37.02
-75.1831320,39.9184658,-14,-36,68,Census Tract 38
-75.1732850,39.9238262,62,44,646,Census Tract 39.01
-75.1744110,39.9167178,89,650,-273,Census Tract 39.02
-75.1662100,39.9238035,-145,-34,-16,Census Tract 40.01
-75.1608840,39.9837644,389,255,385,Census Tract 153
-75.1822200,40.0542198,90,185,63,Census Tract 253
-75.2146520,39.9306204,19,-1,-42,Census Tract 69
-74.9934640,40.0659313,-121,-237,63,Census Tract 353.01
-75.0648980,40.0230600,-74,-114,284,Census Tract 319
-75.1438520,40.0260505,-149,-24,49,Census Tract 283
-75.2414370,39.9566981,-15,-22,23,Census Tract 83.02
-75.2354680,39.9579899,86,-1,113,Census Tract 84
-75.2265380,39.9568821,-47,-49,20,Census Tract 85
-75.1906330,39.9595247,40,272,267,Census Tract 90
-75.1674160,39.9188943,116,-317,176,Census Tract 40.02
-75.1589740,39.9229611,54,32,288,Census Tract 41.01
-75.1600620,39.9179425,-87,401,135,Census Tract 41.02
-75.2336530,39.9736041,-19,-17,6,Census Tract 112
-75.1629790,39.9348217,-102,-16,163,Census Tract 23
-75.2335250,39.9194134,98,9,-101,Census Tract 62
-75.0515270,40.0210898,29,102,295,Census Tract 323
-75.1583350,39.9493845,73,57,70,Census Tract 6
-75.1591150,39.9419037,78,23,-10,Census Tract 15
-75.2074720,39.9601608,474,-48,7,Census Tract 92
-75.2240220,39.9622914,54,-23,6,Census Tract 93
-75.2322430,39.9632709,48,-5,17,Census Tract 94
-75.2379140,39.9658709,2,4,11,Census Tract 95
-75.2435070,39.9655396,7,-4,7,Census Tract 96
-75.2503750,39.9710834,81,23,-92,Census Tract 100
-75.2425290,39.9721396,34,79,15,Census Tract 101
-75.2316700,39.9680830,0,-8,-15,Census Tract 102
-75.2254380,39.9678323,-2,-17,0,Census Tract 103
-75.2191190,39.9654995,32,21,-10,Census Tract 104
-75.2142010,39.9665653,105,93,-21,Census Tract 105
-75.1512640,39.9219554,265,-181,-135,Census Tract 42.01
-75.1240560,40.0222841,365,8,-86,Census Tract 288
-75.2404370,39.9919070,-345,-2,-227,Census Tract 117
-75.1831930,39.9939857,52,40,-92,Census Tract 169.02
-75.1715930,39.9429436,222,97,-51,Census Tract 14
-75.1571330,39.9662042,70,-76,95,Census Tract 132
-75.1331510,40.0493231,-210,98,-187,Census Tract 270
-75.0419550,40.1045720,-353,-97,-243,Census Tract 356.02
-75.1857500,39.9869632,29,-75,17,Census Tract 151.01
-75.1794280,39.9861430,17,-19,3,Census Tract 151.02
-75.0602860,40.0432797,-95,599,-378,Census Tract 314.02
-75.1619010,39.9911965,-47,-6,4,Census Tract 167.01
-75.1544480,40.0458879,32,-98,15,Census Tract 279.01
-75.1543080,40.0374381,-649,-31,-94,Census Tract 279.02
-75.2070430,39.9538114,91,-201,-320,Census Tract 87.02
-75.2360500,39.9483649,-22,-4,8,Census Tract 81.01
-75.2282510,39.9409204,6,25,-64,Census Tract 71.02
-75.2104980,39.9535656,393,429,47,Census Tract 87.01
-75.2345580,39.9522216,19,-57,-3,Census Tract 81.02
-75.1466190,39.9450045,-254,47,82,Census Tract 10.02
-75.1046610,40.0457206,-289,-40,-445,Census Tract 305.02
-75.0548690,40.0392658,-383,-103,-201,Census Tract 315.02
