geoid,lat,lon,Jan-11,Jan-12,Jan-13
42101007102,39.9409204,-75.2282511,6,25,-64
42101026700,40.0547569,-75.1479247,151,-64,-274
42101010200,39.9680830,-75.2316701,0,-8,-15
42101017400,39.9962138,-75.1503586,28,-91,-10
42101020102,40.0111415,-75.1545676,-63,145,-136
42101024900,40.0511009,-75.1601167,-33,25,-20
42101007300,39.9448185,-75.2232916,-145,-34,-64
42101027000,40.0493231,-75.1331512,-210,98,-187
42101006100,39.9150013,-75.2288094,-99,31,-166
42101016702,39.9904175,-75.1578177,80,186,-129
42101032100,40.0170175,-75.0589752,-179,189,-1009
42101025900,40.0799255,-75.1759762,24,-125,-34
42101006400,39.9251805,-75.2428396,110,-49,-153
42101028600,40.0285757,-75.1276448,-263,-301,-250
42101003002,39.9327263,-75.1711915,-21,266,-213
42101016901,39.9930523,-75.1758394,51,15,-34
42101026301,40.0728148,-75.1637161,41,14,-35
42101006900,39.9306204,-75.2146526,19,-1,-42
42101027402,40.0390702,-75.1251352,-344,-110,-207
42101030502,40.0457206,-75.1046619,-289,-40,-445
42101006600,39.9293155,-75.2298425,-217,105,-40
42101015600,39.9790066,-75.1418910,108,150,-200
42101027100,40.0484793,-75.1263611,132,-156,-84
42101010700,39.9687475,-75.2069442,42,211,-83
42101011900,39.9861142,-75.2288429,-43,-160,-55
42101025400,40.0604202,-75.1760718,20,10,-112
42101020000,40.0025289,-75.1508995,33,-8,-31
42101005400,39.8904539,-75.2513923,44,37,-59
42101029900,40.0131465,-75.0747146,172,152,-321
42101027401,40.0386049,-75.1286496,-201,218,-124
42101028000,40.0261190,-75.1546481,26,-6,-18
42101009802,39.9745879,-75.2679037,55,-12,-116
42101016902,39.9939857,-75.1831934,52,40,-92
42101016400,39.9896437,-75.1431665,230,-395,-169
42101006000,39.9115196,-75.2381570,-229,-93,-232
42101026000,40.0761235,-75.1694560,32,-1,-23
42101017000,40.0078614,-75.1834204,61,126,-119
42101026200,40.0664940,-75.1692176,13,19,-24
42101006200,39.9194134,-75.2335257,98,9,-101
42101008702,39.9538114,-75.2070435,91,-201,-320
42101008102,39.9522216,-75.2345584,19,-57,-3
42101012201,40.0034648,-75.2106388,-15,90,-212
42101010400,39.9654995,-75.2191193,32,21,-10
42101011700,39.9919070,-75.2404371,-345,-2,-227
42101014000,39.9735358,-75.1630966,468,96,-128
42101017900,39.9870535,-75.1139340,600,375,-545
42101010000,39.9710834,-75.2503759,81,23,-92
42101028500,40.0287154,-75.1337359,20,12,-49
42101028901,40.0171008,-75.1151820,-223,231,-98
42101019900,40.0048515,-75.1435463,-421,202,-139
42101031800,40.0311021,-75.0769892,-367,125,-227
42101024500,40.0333286,-75.1620463,64,7,-28
42101038600,40.0582762,-75.2110913,45,92,-167
42101005500,39.9074191,-75.2489174,121,15,-112
42101033101,40.0403093,-75.0379505,278,466,-573
42101020400,40.0198216,-75.1525117,-16,30,-6
42101010900,39.9649286,-75.1917650,-193,-18,-17
42101015700,39.9780463,-75.1355242,-37,-147,-173
42101031402,40.0432797,-75.0602860,-95,599,-378
42101030700,40.0573133,-75.0885390,47,65,-265
42101032500,40.0263918,-75.0452561,65,257,-443
42101017100,40.0027449,-75.1763248,21,28,-24
42101000700,39.9510463,-75.1729143,-93,90,-199
42101035602,40.1079419,-75.0480601,-353,-97,-243
42101030600,40.0504922,-75.0943787,-696,837,-377
42101034702,40.0570427,-75.0283288,45,-165,-357
42101032000,40.0271751,-75.0548674,-4,442,-455
42101007900,39.9504630,-75.2182570,324,276,-222
42101035200,40.0559122,-74.9907443,36,-24,-342
42101036303,40.1051833,-74.9702250,-158,-64,-494
42101006300,39.9210843,-75.2399762,101,95,-43
42101003300,39.9384405,-75.1958253,12,455,-134
42101034900,40.0453848,-75.0090768,42,0,-349
42101032900,40.0379010,-75.0249713,392,-155,-188
42101025200,40.0468352,-75.1771588,-316,85,-44
42101033102,40.0451050,-75.0272869,-482,-75,-254
42101033900,40.0685560,-75.0873418,178,-11,-170
42101013402,39.9653623,-75.1690326,108,95,-151
42101010500,39.9665652,-75.2142018,105,93,-21
42101020600,40.0198000,-75.1827740,-219,-33,-72
