div_field_id,div_field_acc,div_locality_id,field_name,field_number,altitude,latitude,longitude,field_comments
1,NULL,1,NULL,NULL,7.9248,38.713647,-75.1465,locality_name=farm
2,NULL,2,NULL,NULL,6.096,38.758933,-75.17755,locality_name=farm
3,NULL,3,NULL,NULL,6.096,38.735433,-75.191967,locality_name=farm
4,NULL,4,NULL,NULL,7.315200000000001,38.765633,-75.210533,locality_name=farm
5,NULL,5,NULL,NULL,6.7056000000000004,38.769617,-75.213017,locality_name=farm
6,NULL,6,NULL,NULL,9.144,38.705919,-75.224494,locality_name=farm
7,NULL,7,NULL,NULL,3.048,38.785489,-75.270511,locality_name=farm
8,NULL,8,NULL,NULL,10.972800000000001,38.741847,-75.282061,locality_name=farm
9,NULL,9,NULL,NULL,11.5824,38.733203,-75.291883,locality_name=farm
10,NULL,10,NULL,NULL,9.7536,38.75605,-75.317417,locality_name=farm
11,NULL,11,NULL,NULL,4.2672,38.837431,-75.321267,locality_name=farm
12,NULL,12,NULL,NULL,4.8768,38.876533,-75.336822,locality_name=farm
13,NULL,13,NULL,NULL,9.7536,38.856606,-75.355406,locality_name=farm
14,NULL,14,NULL,NULL,2.4384,38.937694,-75.357811,locality_name=farm
15,NULL,15,NULL,NULL,8.5344,38.859856,-75.36335,locality_name=farm
16,NULL,16,NULL,NULL,3.6576000000000004,38.908022,-75.364908,locality_name=farm
17,NULL,17,NULL,NULL,7.315200000000001,38.870236,-75.381908,locality_name=farm
18,NULL,18,NULL,NULL,6.096,38.913883,-75.383442,locality_name=farm
19,NULL,19,NULL,NULL,4.8768,38.919278,-75.393061,locality_name=farm
20,NULL,20,NULL,NULL,10.972800000000001,38.861892,-75.406908,locality_name=farm
21,NULL,21,NULL,NULL,12.192,38.868592,-75.407408,locality_name=farm
22,NULL,22,NULL,NULL,11.5824,38.874183,-75.410425,locality_name=farm
23,NULL,23,NULL,NULL,11.5824,38.850208,-75.426953,locality_name=farm
24,NULL,24,NULL,NULL,11.5824,39.003011,-75.441769,locality_name=farm
25,NULL,25,NULL,NULL,8.5344,38.972017,-75.446533,locality_name=farm
26,NULL,26,NULL,NULL,12.8016,38.958575,-75.459961,locality_name=farm
27,NULL,27,NULL,NULL,16.4592,38.933622,-75.465669,locality_name=farm
28,NULL,28,NULL,NULL,15.24,38.935644,-75.485942,locality_name=farm
29,NULL,29,NULL,NULL,14.020800000000001,38.922719,-75.488119,locality_name=farm
30,NULL,30,NULL,NULL,10.3632,38.970708,-75.496208,locality_name=farm
31,NULL,31,NULL,NULL,14.020800000000001,38.939797,-75.497117,locality_name=farm
32,NULL,32,NULL,NULL,10.3632,39.039209,-75.504824,locality_name=farm
33,NULL,33,NULL,NULL,7.9248,38.723,-75.158722,locality_name=farm
34,NULL,34,NULL,NULL,10.972800000000001,39.043203,-75.509019,locality_name=farm
35,NULL,35,NULL,NULL,14.630400000000002,39.002083,-75.522764,locality_name=farm
36,NULL,36,NULL,NULL,14.630400000000002,39.017342,-75.530961,locality_name=farm
37,NULL,37,NULL,NULL,2.4384,38.769936,-75.178383,locality_name=farm
38,NULL,38,NULL,NULL,15.24,39.006933,-75.531469,locality_name=farm
39,NULL,39,NULL,NULL,14.020800000000001,39.029558,-75.540819,locality_name=farm
40,NULL,40,NULL,NULL,10.3632,38.586556,-75.594725,locality_name=farm
41,NULL,41,NULL,NULL,9.7536,38.970353,-75.475867,locality_name=farm
42,NULL,42,NULL,NULL,14.630400000000002,39.285411,-75.664089,locality_name=farm
43,NULL,43,NULL,NULL,12.8016,38.707242,-75.789058,locality_name=farm
44,NULL,44,NULL,NULL,14.020800000000001,38.692136,-75.809247,locality_name=farm
45,NULL,45,NULL,NULL,12.192,38.615697,-75.856086,locality_name=farm
46,NULL,46,NULL,NULL,6.7056000000000004,38.602308,-75.858997,locality_name=farm
47,NULL,47,NULL,NULL,7.9248,38.592925,-75.890903,locality_name=farm
48,NULL,48,NULL,NULL,12.192,38.740442,-75.905186,locality_name=farm
49,NULL,49,NULL,NULL,15.8496,38.771497,-75.914956,locality_name=farm
50,NULL,50,NULL,NULL,7.9248,38.590911,75.94635,locality_name=farm
