div_field_id,value,time_measured
2,21,2013-06-01 01:00:00
15,21.5,2013-06-01 01:00:00
20,21.9,2013-06-01 01:00:00
34,22.3,2013-06-01 01:00:00
49,22.3,2013-06-01 01:00:00
